SentenceID,Text,Duration,Speaker,Sentiment
1,Good afternoon.,0.608,B,POSITIVE
2,Thank you for reaching out to techsolve.,1.52,B,POSITIVE
3,"This is Sarah speaking, how can I assist you today?",2.7,B,NEUTRAL
4,"Hi Sarah, I'm having trouble accessing my online account.",4.624,A,NEGATIVE
5,"Every time I try to log in it says my password is incorrect, but I know I'm entering it correctly.",6.248,A,NEUTRAL
6,I'm really concerned because I need to access some important documents.,3.46,A,NEGATIVE
7,"I'm sorry to hear that, Lisa.",1.424,B,NEGATIVE
8,Let's work together to resolve this issue.,2.04,B,POSITIVE
9,Can you confirm if you've tried resetting your password using the forgot password option on the login page?,6.844,B,NEUTRAL
10,"No, I haven't tried that yet.",1.768,A,NEUTRAL
11,I didn't want to risk getting locked out of my account.,2.356,A,NEGATIVE
12,"I understand, Lisa.",1.184,B,NEUTRAL
13,Resetting your password is often the first step in resolving login issues.,3.808,B,NEUTRAL
14,Let's go ahead and do that.,1.344,B,NEUTRAL
15,I'll guide you through the process to ensure everything goes smoothly.,3.308,B,POSITIVE
16,So have you navigated to your email?,2.1,B,NEUTRAL
17,Yes.,0.82,A,POSITIVE
18,And then could you navigate to the login?,4.97,B,NEUTRAL
19,"Okay, just hit that and then on the bottom there should be a forgot password option and if you click that it should send you an email with instructions on how to reset your password.",12.02,B,NEUTRAL
20,And then have you gotten the password resetting email?,3.74,B,NEUTRAL
21,"Yes, I just did.",1.272,A,POSITIVE
22,"Okay, I'll give you some time to reset your password and let me know if it works.",4.744,B,NEUTRAL
23,It.,0.62,A,NEUTRAL
24,"Okay, I've reset my password.",1.504,A,NEUTRAL
25,"Sarah, it looks like the process went through smoothly.",2.776,A,POSITIVE
26,Let me try logging in with the new password.,2.356,A,NEUTRAL
27,"Oh no, it's still not working.",1.664,A,NEGATIVE
28,I'm getting the same error message saying my password is incorrect.,3.388,A,NEGATIVE
29,"Hmm, that's strange.",1.304,B,NEUTRAL
30,Let's try a few more troubleshooting steps.,2.288,B,NEUTRAL
31,Can you confirm if you're typing the new password exactly as it appears in the reset email?,5.328,B,NEUTRAL
32,Sometimes extra spaces or characters can cause login issues.,3.476,B,NEGATIVE
33,Hold on 1 second.,1.184,A,NEUTRAL
34,"Yeah, take your time.",1.588,B,NEUTRAL
35,"Yes, I'm typing in exactly as it appears in the email.",3.52,A,NEUTRAL
36,I'm not sure why it's still not working.,2.06,A,NEGATIVE
37,"Alright, let's try clearing the cache and cookies in your web browser.",3.8,B,NEUTRAL
38,Sometimes outdated data stored in the browser can interfere with the login process.,4.74,B,NEGATIVE
