SentenceID,Text,Duration,Speaker,Sentiment
1,"Hi, thank you for calling Questran.",1.542,A,POSITIVE
2,This is Candice.,0.728,A,NEUTRAL
3,How may I help you?,1.124,A,NEUTRAL
4,Candice?,0.9,B,NEUTRAL
5,What the actual is going on with your company?,2.984,B,NEGATIVE
6,Are you guys going bankrupt or something?,2.068,B,NEUTRAL
7,"As far as I know, the company is stable and doing great.",3.368,A,POSITIVE
8,May I know your concern?,1.236,A,NEUTRAL
9,"Oh, let me see.",1.232,B,NEUTRAL
10,"First of all, you gave me a used voucher.",3.472,B,NEUTRAL
11,"Like, how could that even happen?",2.876,B,NEGATIVE
12,"Second, nobody's answering my email.",3.46,B,NEGATIVE
13,Someone from your company promised to send me a voucher within 24 hours.,4.98,B,NEUTRAL
14,"It's been four f. Ing days, the sale has ended, and I still have no f. Cking voucher.",5.512,B,NEGATIVE
15,Why?,0.724,B,NEUTRAL
16,I seriously want to know why?,1.256,B,NEUTRAL
17,Because it is such a f mystery to me as to how a company could be this messed up.,4.704,B,NEGATIVE
18,What in the actual f is going on?,2.124,B,NEGATIVE
19,I need to know that somebody's gonna get fired for this or I'm out.,3.444,B,NEGATIVE
20,I am done doing business with your company.,2.188,B,NEGATIVE
21,I'm so sorry for any inconvenience we've cost you.,2.936,A,NEGATIVE
22,"Normally, anyone from our company should be able to replace vouchers within 24 hours.",5.2,A,NEUTRAL
23,Why do I have to beg for it?,1.716,B,NEGATIVE
24,Why do I have to email you multiple times for a measly ten dollar discount?,4.5,B,NEGATIVE
25,It's humiliating.,1.66,B,NEGATIVE
26,I understand that.,1.276,A,NEUTRAL
27,Do you really?,1.032,B,NEUTRAL
28,"You keep on saying you understand, but for all I know, you're just reading off script.",4.06,B,NEGATIVE
29,I'm honestly just as confused as you are right now.,2.816,A,NEGATIVE
30,"Like I said, voucher issues should be something that we can resolve easily.",4.452,A,NEUTRAL
31,"If you can give me your email address and full name, I will review the notes from the previous agent and I will find the answer for you as soon as possible.",7.38,A,NEUTRAL
32,Email address.,1.1,B,NEUTRAL
33,Impossible.,0.744,B,NEGATIVE
34,Customer name is Tabitha Ratchet.,6.168,B,NEUTRAL
35,Tabitha Ratchet.,1.62,B,NEUTRAL
36,"Thank you, Tabitha.",1.62,A,POSITIVE
37,So annoying.,1.608,B,NEGATIVE
38,This is the first time that I have to deal with a service as shitty as this.,4.396,B,NEGATIVE
39,"Yes, this must be frustrating for you.",2.264,A,NEGATIVE
40,Especially that the sale has already ended.,2.148,A,NEUTRAL
41,You said it.,1.1,B,NEUTRAL
42,"You better have a solution for me today, or else I'm out.",3.71,B,NEUTRAL
43,I'll quit doing business with your company.,2.06,B,NEGATIVE
44,Yes.,0.44,A,POSITIVE
45,And I'm going to do my best to help you today.,1.744,A,POSITIVE
46,"Tabitha, I have your account pulled up now.",2.468,A,NEUTRAL
47,"Okay, what do you see?",2.22,B,NEUTRAL
48,"So, according to your email history here, you sent us an email on the third asking for help about the voucher discount ten that showed an error message.",8.784,A,NEGATIVE
49,This code has already been used.,1.644,A,NEUTRAL
50,"And Claire, the previous agent, assured you that she would send a replacement within 24 hours.",5.5,A,NEUTRAL
51,That's right.,0.72,B,NEUTRAL
52,That's right.,1.024,B,NEUTRAL
53,"Since then, I emailed three more times and haven't gotten any news from her.",6.008,B,NEGATIVE
54,Crickets.,0.968,B,NEGATIVE
55,"Yes, I see her that as well.",1.892,A,NEUTRAL
56,This was truly not the service that we want you to experience.,3.048,A,NEGATIVE
57,So what I will do now.,1.368,A,NEUTRAL
58,"Well, it better not be.",1.364,B,NEGATIVE
59,I swear.,0.976,B,NEUTRAL
60,Something must be done about this.,1.852,B,NEUTRAL
61,Exactly.,0.672,A,NEUTRAL
62,So what I will do now is to further check why the code wasn't working and what I can do to resolve this for you.,5.28,A,NEUTRAL
63,Can I put you on hold for two minutes so I can get back to you with an answer?,3.212,A,NEUTRAL
64,Fine.,0.792,B,NEUTRAL
65,Go ahead.,0.936,B,NEUTRAL
66,Thank you.,0.964,A,POSITIVE
67,"Thanks for reading, Tabitha.",1.54,A,POSITIVE
68,So here's what I found.,1.848,A,NEUTRAL
69,The reason why the voucher didn't work was because you have already used it on your April 2 order for a koi juicer.,7.72,A,NEGATIVE
70,So you tried using this on.,1.808,A,NEUTRAL
71,"Hold on, hold on, hold on.",1.512,B,NEUTRAL
72,What are you talking about?,1.208,B,NEUTRAL
73,I don't have any chance to use that code at all.,2.448,B,NEGATIVE
74,I paid the full price of that juicer with my own money.,3.94,B,NEUTRAL
75,"If you check the order confirmation for the juicer you ordered on the second, you were supposed to pay $49.99.",6.536,A,NEUTRAL
76,"But since the discount ten voucher was applied to it, you ended up paying only $39.99.",6.412,A,NEUTRAL
77,So let me get this straight.,1.648,B,NEUTRAL
78,You're saying that I cannot reuse that voucher?,2.88,B,NEGATIVE
79,No.,0.544,A,NEUTRAL
80,All our vouchers can only be used one time.,3.372,A,NEUTRAL
81,What about the promise that Claire made me?,2.192,B,NEUTRAL
82,"She told me, as you can see from her email, that she's going to send me a replacement voucher because the first one didn't work.",6.724,B,NEGATIVE
83,"The voucher did work, Tabitha.",1.912,A,POSITIVE
