SentenceID,Text,Duration,Speaker,Sentiment
1,"Hi, thank you for calling power up.",1.638,A,POSITIVE
2,This is Candice.,0.864,A,NEUTRAL
3,How may I help you?,1.212,A,NEUTRAL
4,"Hey, did you guys increase your rate for unlimited package?",4.14,B,NEUTRAL
5,"Not recently, no.",1.74,A,NEUTRAL
6,"In fact, we have not changed our rate since 2010.",4.02,A,NEUTRAL
7,"Oh, really?",0.936,B,NEUTRAL
8,Because this month you guys are charging me $53 instead of 50.,4.732,B,NEGATIVE
9,Really?,0.696,A,NEUTRAL
10,That's weird.,0.96,A,NEGATIVE
11,That's not supposed to happen.,1.596,A,NEGATIVE
12,"But I could check your account for you, though, and see what the charge was for.",4.128,A,NEUTRAL
13,I just need your account number and your full name.,3.076,A,NEUTRAL
14,"Yes, please.",0.96,B,POSITIVE
15,I would appreciate it.,1.448,B,POSITIVE
16,"So, my full name is Searcy Bannister.",4.076,B,NEUTRAL
17,"Cersei is spelled as c e r s for, sorry, e I.",8.76,B,NEUTRAL
18,"And my last name is Bannister, like the side of a staircase with a single n. Okay.",7.696,B,NEUTRAL
19,Thank you.,0.576,A,POSITIVE
20,And.,0.588,A,NEUTRAL
21,And your account number?,1.46,A,NEUTRAL
22,Account number?,1.072,B,NEUTRAL
23,What account number?,1.232,B,NEUTRAL
24,I don't have it.,1.316,B,NEGATIVE
25,Couldn't you check using my name?,2.016,B,NEUTRAL
26,"Because my name is quite unique, so you should be able to pull it up without getting duplicates.",4.932,B,POSITIVE
27,"For security purposes, I would need both your full name and your account number.",4.808,A,NEUTRAL
28,You should find your account number at the top right corner of your billing statement.,4.516,A,NEUTRAL
29,Okay.,0.98,B,NEUTRAL
30,Let me just go ahead and check my email.,2.18,B,NEUTRAL
31,Hang on.,0.872,B,NEUTRAL
32,Sure.,0.684,A,NEUTRAL
33,"Okay, I got the email.",2.08,B,NEUTRAL
34,Where do I find it?,1.34,B,NEUTRAL
35,At the top right corner of the email.,2.496,A,NEUTRAL
36,"It should start with one, two, and it's composed of six digits.",3.932,A,NEUTRAL
37,Got it.,0.832,B,POSITIVE
38,"So, my account number is 123456.",5.084,B,NEUTRAL
39,Thank you.,1.02,A,POSITIVE
40,Let me just pull up your account.,2.664,A,NEUTRAL
41,Give me one moment.,1.388,A,NEUTRAL
42,"Okay, I got it.",1.752,A,NEUTRAL
43,"So, according to your September billing statement, you were charged an extra $3 due to the late payment of your August bill.",8.912,A,NEGATIVE
44,"So, the due date was on August 15, and it was paid on September 1.",4.704,A,NEUTRAL
45,"Wait, what?",0.808,B,NEUTRAL
46,What are you talking about?,0.904,B,NEUTRAL
47,You're charging penalties now?,2.06,B,NEUTRAL
48,I didn't know that.,1.34,B,NEUTRAL
49,"Yes, Cersei, this was written on the terms and conditions when you signed up with us.",4.86,A,NEUTRAL
50,"Ah, I see.",2.06,B,NEUTRAL
51,So let me just get this straight.,2.3,B,NEUTRAL
